County,Elevation ,Date,ppt ,tmin ,tmean ,tmax ,tdmean ,vpdmin ,vpdmax 
Kings,184,2007-04,0.32,48.3,62.6,77,39.3,2.87,22.78
Kings,184,2007-05,0,54.5,71.1,87.7,38.1,5.25,35.81
Kings,184,2007-06,0,60.3,77,93.6,43.6,6.47,42.46
Kings,184,2007-07,0,65.7,81.6,97.5,51.4,6.66,44.64
Kings,184,2007-08,0.09,65.2,81.5,97.8,49,7.03,45.96
Kings,184,2007-09,0.29,58.4,73.2,87.9,47.8,4.29,32.95
Kings,184,2007-10,0.49,49.1,63.4,77.7,40.8,2.55,22.88
Kings,184,2007-11,0.1,42.9,56.1,69.2,39.8,1.44,14.41
Kings,184,2007-12,1.11,34.2,44.7,55.1,33.3,0.61,7.34
Kings,184,2008-01,2.34,37.4,46.3,55.3,37.1,0.58,6.77
Kings,184,2008-02,0.8,38.2,49.8,61.5,38.3,0.58,9.72
Kings,184,2008-03,0,41.7,56.3,70.8,36.8,1.49,17.5
Kings,184,2008-04,0,44.9,60.6,76.4,34.9,2.55,23.35
Kings,184,2008-05,0.21,54.2,69.1,84,40.1,4.53,30.8
Kings,184,2008-06,0,59.9,77.2,94.4,40.8,6.95,44.86
Kings,184,2008-07,0,66.1,82.4,98.8,51,7.35,46.55
Kings,184,2008-08,0,65.8,83.1,100.4,48.9,8.09,50.72
Kings,184,2008-09,0,60,77.1,94.2,44.1,6.02,42.86
Kings,184,2008-10,0.07,50.5,66.7,82.9,38.5,3.89,29.09
Kings,184,2008-11,0.65,44.7,56.6,68.4,43.6,1.09,13.04
Kings,184,2008-12,0.98,35.6,44.2,52.8,35.9,0.38,5.04
Kings,184,2009-01,0.69,36.8,46.9,57,37.9,0.3,7.06
Kings,184,2009-02,1.38,38.9,50.2,61.6,40,0.36,9.13
Kings,184,2009-03,0.23,41.5,55.3,69.1,37.5,1.35,15.58
Kings,184,2009-04,0.06,45.5,61,76.6,35.1,2.91,24.37
Kings,184,2009-05,0.34,58.2,74.1,90,44,5.35,36.42
Kings,184,2009-06,0.19,60.4,75.1,89.8,46.5,5.61,35.28
Kings,184,2009-07,0,66.5,83.9,101.2,46,9.2,53.48
Kings,184,2009-08,0,63.5,80.6,97.7,46.7,7.3,47.26
Kings,184,2009-09,0.17,61.2,78.6,96,46.1,6.36,45.59
Kings,184,2009-10,0.66,49.2,62.9,76.6,40.6,2.6,20.98
Kings,184,2009-11,0.16,38.2,52.6,66.9,36.7,1.08,14.36
Kings,184,2009-12,1.52,36.3,45.9,55.5,36.6,0.42,6.57
Kings,184,2010-01,2.63,39.3,47.1,54.9,40,0.39,5.28
Kings,184,2010-02,1.95,42.2,51.4,60.6,43.7,0.49,6.34
Kings,184,2010-03,0.32,41.1,54.6,68.1,39.8,0.94,13.92
Kings,184,2010-04,1.29,44.8,57.4,70,40.7,1.3,14.92
Kings,184,2010-05,0.39,49.6,63.9,78.2,38.5,2.95,23.7
Kings,184,2010-06,0,59.9,76.2,92.5,45.5,5.81,37.91
Kings,184,2010-07,0,65,81.8,98.6,50.5,7.45,45.93
Kings,184,2010-08,0,61.6,79.2,96.9,48.4,5.92,42.87
Kings,184,2010-09,0,56.8,74.3,91.7,46.9,4.69,36.78
Kings,184,2010-10,0.5,54.2,67.4,80.5,46.6,3.29,24.15
Kings,184,2010-11,1.2,39.7,52.4,65.1,39.6,0.67,12.63
Kings,184,2010-12,4.93,41.9,50,58,43.2,0.38,5.55
Kings,184,2011-01,1.24,38,44.8,51.6,39.1,0.29,4.13
Kings,184,2011-02,0.82,35.9,47.9,60,36.2,0.51,9.4
Kings,184,2011-03,2.61,43,53.9,64.8,41.8,0.77,10.53
Kings,184,2011-04,0.32,46.7,60.4,74.1,41.7,1.61,17.86
Kings,184,2011-05,0.22,49.5,64.4,79.2,39.3,2.9,24.86
Kings,184,2011-06,0.59,58.3,73.4,88.5,47.8,4.18,33.2
Kings,184,2011-07,0,64.3,80.4,96.6,52.6,6.03,40.61
Kings,184,2011-08,0,63.1,80.1,97.2,50.9,5.43,42.38
Kings,184,2011-09,0,61.9,78,94.2,50.9,5.15,38.48
Kings,184,2011-10,0.32,52.2,66.7,81.1,47.5,2.19,22.91
Kings,184,2011-11,1,40.1,51.6,63.1,39.8,0.64,10.36
Kings,184,2011-12,0,29.2,43.2,57.1,28.8,0.69,9.43
Kings,184,2012-01,0.54,33.5,47.1,60.7,33.6,0.74,10.07
Kings,184,2012-02,0.28,38.7,51.3,63.8,35.6,1,12.46
Kings,184,2012-03,1.53,41.9,54.8,67.7,37.3,1.36,14.36
Kings,184,2012-04,1.72,48.5,61.6,74.7,42.5,2.14,18.56
Kings,184,2012-05,0.02,54.2,70.5,86.7,41,4.66,33.03
Kings,184,2012-06,0,59.2,75.7,92.1,44.5,6.18,38.93
Kings,184,2012-07,0,63.7,80.4,97,49.1,6.61,43.82
Kings,184,2012-08,0,67,83.8,100.7,49.3,8.7,50.17
Kings,184,2012-09,0,62.4,78.8,95.3,47,6.97,42.5
Kings,184,2012-10,0.25,52.3,66.9,81.4,45.5,3.15,25.39
Kings,184,2012-11,0.3,42.1,55.4,68.7,41.5,1.09,13.85
Kings,184,2012-12,1.47,38.9,48.2,57.5,40.9,0.37,6.6
Kings,184,2013-01,0.33,32.5,44.3,56.1,33.5,0.57,7.83
Kings,184,2013-02,0.47,35.3,48.8,62.3,35,0.71,11.24
Kings,184,2013-03,0.8,44.9,59,73.1,40.3,1.75,17.95
Kings,184,2013-04,0.09,50.5,65.2,79.9,39.8,3.42,25.38
Kings,184,2013-05,0.34,55.8,70.9,85.9,41.1,5.11,31.47
Kings,184,2013-06,0,62.3,78.4,94.6,48.1,6.37,40.07
Kings,184,2013-07,0,68.4,85.2,101.9,50.1,9.36,51.66
Kings,184,2013-08,0,63.9,80.4,97,49.6,6.71,44.37
Kings,184,2013-09,0,60.2,75.4,90.5,47.4,5.89,35.71
Kings,184,2013-10,0,48,64.1,80.3,37.1,3.74,26.51
Kings,184,2013-11,0.27,42.2,55.9,69.6,36.2,1.94,16.19
Kings,184,2013-12,0.1,30.7,45.2,59.6,27,1.29,11.37
Kings,184,2014-01,0.13,35.8,51,66.2,32.6,1.63,14.47
Kings,184,2014-02,1.22,42.3,54.3,66.2,40.3,1.23,12.77
Kings,184,2014-03,0.92,47.3,60.4,73.6,41,2.32,18.95
Kings,184,2014-04,0.3,50.3,64.5,78.7,41.7,3.31,24.85
Kings,184,2014-05,0,56.9,72.6,88.3,39.6,6.69,36.94
Kings,184,2014-06,0,61.3,78.4,95.4,42.1,8.21,46.67
Kings,184,2014-07,0,69.1,85,100.9,51.4,10.04,52.42
Kings,184,2014-08,0,66.3,82.5,98.6,50,8.94,49.61
Kings,184,2014-09,0,62.9,78.6,94.4,49.2,7.06,43.23
Kings,184,2014-10,0,53.7,69.2,84.8,42.4,5.01,31.84
Kings,184,2014-11,1,44.1,56.3,68.6,43.8,0.95,13.05
Kings,184,2014-12,2.33,42.5,51.2,59.9,42.5,0.58,6.85
Kings,184,2015-01,0.12,37.5,46.9,56.3,39,0.28,5.61
Kings,184,2015-02,0.75,42.9,56.2,69.4,44.1,0.6,12.82
Kings,184,2015-03,0.27,47,62.4,77.8,41.7,2.43,23.13
Kings,184,2015-04,0.45,48.2,63.7,79.1,36.7,3.69,26.15
Kings,184,2015-05,0.27,53.4,67.6,81.8,42,4.15,29.27
Kings,184,2015-06,0,64.2,80.5,96.7,44.9,9.33,49.68
Kings,184,2015-07,0.21,67.8,82.4,97,50.2,9.67,47.4
Kings,184,2015-08,0.01,65.3,81.2,97.1,50.3,8,47.41
Kings,184,2015-09,0,61,77.1,93.2,43.9,8.41,43.23
Kings,184,2015-10,0.54,56.3,70.1,83.8,48.9,3.66,27.4
Kings,184,2015-11,1.04,37.5,50.8,64.2,38,0.83,12.57
Kings,184,2015-12,1.1,33.4,44.9,56.3,35.7,0.54,7.79
Lake,2748,2005-01,9.02,37.3,44.2,51.1,32.2,1.43,6.08
Lake,2748,2005-02,4.4,39.8,47.4,54.9,36,1.05,7.2
Lake,2748,2005-03,9.01,40.8,50.3,59.9,34.9,1.65,11.56
Lake,2748,2005-04,2.29,39,50.4,61.7,36.1,0.81,11.29
Lake,2748,2005-05,4.68,47.1,57.2,67.3,44.3,1.57,13.14
Lake,2748,2005-06,1.77,50.3,61.3,72.2,44.9,2.06,18.05
Lake,2748,2005-07,0,64.1,78,92,48.9,8.87,40.82
Lake,2748,2005-08,0,62,76.3,90.5,41.2,9.56,39.12
Lake,2748,2005-09,0.03,53,66.9,80.9,37.7,5.66,29.17
Lake,2748,2005-10,1.05,46.8,59,71.1,37.2,2.99,19.84
Lake,2748,2005-11,4.83,43.6,53,62.4,34.2,2.67,11.95
Lake,2748,2005-12,18.97,38.4,45.5,52.7,34.4,1,5.42
Lake,2748,2006-01,10.44,38.9,45.2,51.5,35.2,1.18,5.15
Lake,2748,2006-02,5.73,38.1,47.8,57.6,28.7,2.5,10.84
Lake,2748,2006-03,13.48,35.6,41.6,47.5,32.2,0.69,4.28
Lake,2748,2006-04,8.85,41.1,49.6,58.1,39.1,1.02,8.68
Lake,2748,2006-05,0.86,49.5,62.2,74.9,38.8,4.09,21.89
Lake,2748,2006-06,0,57.5,70.7,84,44.8,6.43,30.2
Lake,2748,2006-07,0,64.5,78.9,93.2,45.3,10.46,44.03
Lake,2748,2006-08,0,58.6,73,87.3,40.9,7.57,35.9
Lake,2748,2006-09,0.03,56.9,71,85.1,31.6,9.48,36.1
Lake,2748,2006-10,0.31,47.8,60.3,72.7,28.8,5.24,22.1
Lake,2748,2006-11,4.03,40.6,48.5,56.4,37.7,0.4,7.08
Lake,2748,2006-12,7.35,37.7,44.9,52.1,25.5,2.06,8.09
Lake,2748,2007-01,0.93,31.7,42.7,53.8,23.6,1.47,8.84
Lake,2748,2007-02,11.15,37.1,44.6,52.1,32.5,1.2,6.77
Lake,2748,2007-03,0.93,42.1,53.4,64.7,32.4,2.93,14.83
Lake,2748,2007-04,2.12,41.7,53.4,65.1,33.3,2.26,15.37
Lake,2748,2007-05,0.5,46,60.8,75.7,36.7,2.43,21.01
Lake,2748,2007-06,0,52.6,67.6,82.5,40.7,3.62,26.68
Lake,2748,2007-07,0.25,59.8,74.1,88.3,46.6,5.33,31.77
Lake,2748,2007-08,0,59.6,74.7,89.8,41.8,7.55,37.57
Lake,2748,2007-09,0.09,54.3,67.4,80.5,39.2,4.99,25.91
Lake,2748,2007-10,2.54,45.8,56,66.1,36.5,2.82,14.79
Lake,2748,2007-11,0.66,42.2,52.8,63.4,33.8,2.22,12.92
Lake,2748,2007-12,6,34.7,41.6,48.5,27.1,1.02,6.04
Lake,2748,2008-01,17.15,35.7,41.4,47.1,27.9,1.5,5.22
Lake,2748,2008-02,5.97,37,45.9,54.9,29.6,1.76,9.08
Lake,2748,2008-03,0.9,36.6,48,59.3,30.5,1.39,10.38
Lake,2748,2008-04,0.27,37.3,51.4,65.4,29,1.67,15.77
Lake,2748,2008-05,0.03,48.1,61.2,74.4,36.3,4.56,22.73
Lake,2748,2008-06,0,54.8,68.7,82.6,32.9,8.08,31.78
Lake,2748,2008-07,0,61.1,75.2,89.4,42.9,8.74,38.3
Lake,2748,2008-08,0,61,75.5,90.1,40,9.74,39.88
Lake,2748,2008-09,0.12,56.4,71.3,86.3,32.9,8.83,36.05
Lake,2748,2008-10,1.46,49.7,62.5,75.4,32.5,4.58,24.24
Lake,2748,2008-11,3.86,45.6,54.1,62.7,37.9,2.54,11.32
Lake,2748,2008-12,3.59,35.6,42.8,50.1,28.3,1.59,7.1
Lake,2748,2009-01,1,39.3,48.9,58.4,26.9,3.43,12.01
Lake,2748,2009-02,10.24,36.5,43.2,49.8,31.5,1.3,6.12
Lake,2748,2009-03,4.47,37.2,46.8,56.4,31.3,1.28,9.45
Lake,2748,2009-04,0.48,39.6,51.8,63.9,31.1,2.51,15.45
Lake,2748,2009-05,2.1,50.3,63,75.8,39.5,4.07,22.96
Lake,2748,2009-06,0.16,52.5,65.5,78.4,42.5,4.32,24.93
Lake,2748,2009-07,0,61.1,76.5,91.8,40.3,9.45,45.47
Lake,2748,2009-08,0,59.8,74.5,89.1,39.4,8.83,39.39
Lake,2748,2009-09,0.03,58.3,73.4,88.5,37,8.61,39.85
Lake,2748,2009-10,3.34,46.9,58.3,69.7,35.7,3.19,17.41
Lake,2748,2009-11,1.84,40.1,49.7,59.3,32.7,2.08,10.53
Lake,2748,2009-12,3.7,35.7,42.8,50,29,1.43,6.13
Lake,2748,2010-01,18.48,40,45.2,50.4,35.8,0.74,4.61
Lake,2748,2010-02,5.68,38.3,45.3,52.2,36.7,0.38,5.46
Lake,2748,2010-03,6.07,37.5,47.2,56.9,30.2,1.57,10.29
Lake,2748,2010-04,6.98,37.6,47.3,57,33.3,1.04,9.73
Lake,2748,2010-05,2.23,41.3,51.9,62.5,34.5,1.91,12.26
Lake,2748,2010-06,0.31,53.8,65.8,77.8,43.1,4.47,22.92
Lake,2748,2010-07,0,58.2,73.3,88.5,44.7,5.05,29.47
Lake,2748,2010-08,0,55.7,70.9,86.2,42.7,4.65,27.82
Lake,2748,2010-09,0.08,56.7,70.3,83.8,39.7,7.16,32.24
Lake,2748,2010-10,6.47,49.7,60.4,71.1,36.9,4.4,19.96
Lake,2748,2010-11,4.04,39.2,48.4,57.5,35,1.42,8.67
Lake,2748,2010-12,10.07,38.4,43.4,48.3,36.5,0.34,3.07
Lake,2748,2011-01,2.18,39.1,47.2,55.2,27.9,2.76,9.49
Lake,2748,2011-02,6.2,35.6,44.2,52.7,24.9,2.56,9.12
Lake,2748,2011-03,15.81,36.5,43.4,50.2,35.2,0.44,5.06
Lake,2748,2011-04,0.77,38.8,49.8,60.7,32.8,1.5,11.59
Lake,2748,2011-05,1.9,41.7,53.6,65.6,33.7,2.06,15.38
Lake,2748,2011-06,2.27,52.3,63.5,74.8,44,4.11,20.67
Lake,2748,2011-07,0,58.9,72.2,85.6,48.9,5.45,29.73
Lake,2748,2011-08,0,60.5,75,89.5,43.7,7.88,37.29
Lake,2748,2011-09,0,60.8,75.3,89.8,39.4,9.44,40.02
Lake,2748,2011-10,3.4,50.5,61.3,72.1,40.3,3.45,17.84
Lake,2748,2011-11,3.39,38.3,46.7,55.1,32.7,1.22,8.2
Lake,2748,2011-12,0.3,38,47.4,56.9,20.8,3.3,11.25
Lake,2748,2012-01,7.43,38.9,47.2,55.5,25,2.98,9.79
Lake,2748,2012-02,2.66,36.8,46.4,56.1,28.5,1.39,9.73
Lake,2748,2012-03,11.82,35.8,43.9,52.1,30.5,1.1,7.17
Lake,2748,2012-04,2.57,40.8,51.8,62.7,34.8,1.6,13.11
Lake,2748,2012-05,0.29,47,61.2,75.4,34.4,4.01,23.41
Lake,2748,2012-06,0.1,52.3,66.1,79.8,37.5,5.92,27.85
Lake,2748,2012-07,0,58.2,73,87.8,42.5,6.86,35.65
Lake,2748,2012-08,0,62.8,78.1,93.3,37.4,11.95,46.59
Lake,2748,2012-09,0,56.7,72.8,89,32.2,11.14,40.81
Lake,2748,2012-10,1.41,49.6,61.9,74.2,37.1,3.94,22.63
Lake,2748,2012-11,10.17,42.4,50.6,58.7,38.3,1.33,8.85
Lake,2748,2012-12,13.37,35.9,42,48.2,32,0.87,4.54
Lake,2748,2013-01,1.54,35.9,44.1,52.2,23.5,2.65,8.64
Lake,2748,2013-02,0.77,35.2,46.1,57,24.8,2.14,11.12
Lake,2748,2013-03,2.85,40,50.4,60.8,32.1,1.8,12.16
Lake,2748,2013-04,1.16,43.9,56.6,69.4,33.1,3.1,18.24
Lake,2748,2013-05,0.3,47.3,60.2,73.1,34.5,4,20.05
Lake,2748,2013-06,0.91,55.5,69.1,82.7,41.2,5.52,27.85
Lake,2748,2013-07,0.05,62.9,78,93.1,44.4,9.6,42.74
Lake,2748,2013-08,0.01,59.2,72.9,86.5,44.6,6.12,32.76
Lake,2748,2013-09,0.71,54.5,67.4,80.4,41.4,4.96,27.64
Lake,2748,2013-10,0.06,48.9,61.2,73.4,28.8,5.81,22.59
Lake,2748,2013-11,1.12,43.5,53.4,63.2,29.1,3.61,13.86
Lake,2748,2013-12,0.47,37,47.6,58.1,19.3,4.05,12.98
Lake,2748,2014-01,0.46,42.5,53.2,63.9,22.4,5.04,15.96
Lake,2748,2014-02,10.4,39.3,47.1,54.9,35.6,0.93,7.61
Lake,2748,2014-03,8.42,42.6,51.6,60.5,33.7,2.45,11.74
Lake,2748,2014-04,2.34,44.3,56,67.7,36.4,2.75,17.08
Lake,2748,2014-05,0.11,49.2,62.4,75.7,35.8,4.9,23.75
Lake,2748,2014-06,0,56,70.4,84.9,40.2,7.16,31.73
Lake,2748,2014-07,0,63.4,78.2,92.9,44.7,9.68,43.41
Lake,2748,2014-08,0.04,61.1,75,88.9,44.5,7.44,37.35
Lake,2748,2014-09,0.86,58.4,71.6,84.7,41.2,7.09,33.07
Lake,2748,2014-10,1.26,52.7,63.7,74.8,38.2,5.64,23.32
Lake,2748,2014-11,4.51,44.2,52.4,60.7,37.4,2.2,10.44
Lake,2748,2014-12,15.68,42,46.3,50.5,39.3,0.46,3.29
Lake,2748,2015-01,0.46,43.5,51.7,59.9,30.7,3.44,11.08
Lake,2748,2015-02,6.99,44.6,53.4,62.2,33,2.98,11.84
Lake,2748,2015-03,0.51,44.8,55.4,66.1,34.3,2.88,15.23
Lake,2748,2015-04,2.01,42.3,54.8,67.3,33.1,2.65,17.03
Lake,2748,2015-05,0.68,47,59.9,72.8,38.6,2.8,19.7
Lake,2748,2015-06,0.08,58.8,73.1,87.5,41.6,8.02,36.55
Lake,2748,2015-07,0.31,61.6,74.9,88.2,45.1,7.56,36.01
Lake,2748,2015-08,0.04,60.4,74.3,88.2,43.2,7.35,36.9
Lake,2748,2015-09,0.68,58.6,71.4,84.3,35.4,9.47,34.84
Lake,2748,2015-10,0.17,54.6,66.3,77.9,38.9,5.71,25.17
Lake,2748,2015-11,2.26,39.7,48.3,56.9,31.6,1.96,9.68
Lake,2748,2015-12,10.56,36.4,41.7,47.1,33.7,0.6,3.67
Lassen,6453,2005-01,2.03,21.1,30.2,39.2,19.6,0.54,4.04
Lassen,6453,2005-02,0.68,23.3,32.5,41.6,21.9,0.32,4.32
Lassen,6453,2005-03,1.41,25.8,36.4,47.1,19.9,1,7.4
Lassen,6453,2005-04,1.6,26.7,37.6,48.5,22.5,0.67,7.42
Lassen,6453,2005-05,2.98,35.2,45.8,56.4,32.9,0.91,9.67
Lassen,6453,2005-06,0.88,36.4,49.7,63,30.9,1.13,14.22
Lassen,6453,2005-07,0,51.8,67.6,83.5,35.8,5,31.96
Lassen,6453,2005-08,0,49,65.3,81.5,28.1,5.96,31.45
Lassen,6453,2005-09,0.43,38.9,53.7,68.6,24,3.1,19.72
Lassen,6453,2005-10,0.62,33.7,46.7,59.8,25.8,1.4,12.53
Lassen,6453,2005-11,1.75,28.6,38.2,47.9,22.5,1.13,6.95
Lassen,6453,2005-12,5.81,24.2,31.5,38.9,23.3,0.28,2.87
Lassen,6453,2006-01,3.81,22.3,29.9,37.5,22,0.37,3.04
Lassen,6453,2006-02,3.06,19.6,31.4,43.2,16.4,0.5,6.17
Lassen,6453,2006-03,2.69,18.5,26.8,35.1,18.9,0.25,2.97
Lassen,6453,2006-04,3.83,28.5,37.6,46.7,27,0.45,5.98
Lassen,6453,2006-05,1.05,35.9,49.3,62.6,28.1,1.39,14.59
Lassen,6453,2006-06,0.66,43.8,58.9,73.9,32.3,3.15,23.11
Lassen,6453,2006-07,0.05,51.7,67.8,83.8,32.1,6.68,33.61
Lassen,6453,2006-08,0,46.3,62.4,78.5,25,5.81,28.68
Lassen,6453,2006-09,0,41.5,57,72.5,18.7,5.55,24.77
Lassen,6453,2006-10,0.22,31.9,45.7,59.5,20.5,1.73,13.55
Lassen,6453,2006-11,1.61,26.6,35.5,44.4,23.7,0.44,5.48
Lassen,6453,2006-12,1.37,21.4,30.5,39.6,15.3,0.65,4.65
Lassen,6453,2007-01,0.43,17.2,28.5,39.8,9.9,0.92,5.5
Lassen,6453,2007-02,3.29,23.7,32.5,41.3,18.9,0.73,5.02
Lassen,6453,2007-03,0.56,26.7,39.3,51.9,20.5,0.98,10.08
Lassen,6453,2007-04,1.13,28.6,40.7,52.8,22.4,1.13,10.4
Lassen,6453,2007-05,0.38,35.4,49.8,64.2,26.1,1.64,16.63
Lassen,6453,2007-06,0.48,41.8,57,72.1,30.6,2.56,21.23
Lassen,6453,2007-07,0.22,48.7,65.5,82.3,35,4.11,30.91
Lassen,6453,2007-08,0.31,48.7,64.5,80.2,27.4,6.24,28.43
Lassen,6453,2007-09,0.94,40.1,54.3,68.5,28.3,2.63,19.35
Lassen,6453,2007-10,1.51,32.3,43.5,54.6,25.8,1.26,9.85
Lassen,6453,2007-11,0.32,28.2,39,49.9,21.5,1.37,7.69
Lassen,6453,2007-12,1.4,17.9,26.2,34.4,17.2,0.31,2.97
Lassen,6453,2008-01,3.49,17.5,25.5,33.4,14.8,0.54,3.01
Lassen,6453,2008-02,1.83,20,30.8,41.5,18.1,0.54,5.47
Lassen,6453,2008-03,0.64,22.1,33.3,44.5,17.6,0.69,6.37
Lassen,6453,2008-04,0.45,24,36.9,49.8,17.3,0.8,9.52
Lassen,6453,2008-05,1.5,34.8,47.5,60.3,27.7,1.64,13.79
Lassen,6453,2008-06,0,40.1,55.8,71.4,25.5,3.58,22.34
Lassen,6453,2008-07,0.14,50,66.2,82.5,28.7,6.18,32.71
Lassen,6453,2008-08,0.05,50.2,66.1,82.1,28.3,6.63,32.46
Lassen,6453,2008-09,0,44.8,60,75.3,19.2,6.31,26.85
Lassen,6453,2008-10,0.35,35,48,60.9,20.9,2.31,14.69
Lassen,6453,2008-11,1.76,31,40.6,50.1,26.4,1.06,7.03
Lassen,6453,2008-12,1.92,19.6,28.9,38.1,16,0.67,4.9
Lassen,6453,2009-01,0.95,22.3,33.3,44.2,16.3,0.85,6.38
Lassen,6453,2009-02,2.46,22.8,31.1,39.4,20,0.49,4.47
Lassen,6453,2009-03,2.68,21.8,32.6,43.4,18.5,0.56,6.1
Lassen,6453,2009-04,1.11,26.9,38.3,49.7,19.6,1.03,9.12
Lassen,6453,2009-05,1.48,37.6,51.2,64.8,26.3,2.47,17.13
Lassen,6453,2009-06,1.68,41.8,53.9,66,33.7,2.26,16.12
Lassen,6453,2009-07,0.04,50.2,65.8,81.5,28.7,6.76,32.61
Lassen,6453,2009-08,0.28,48.5,63.7,78.8,27.1,6.14,28.94
Lassen,6453,2009-09,0.02,47,62,77.1,22.2,6.54,28
Lassen,6453,2009-10,1.83,31.9,43.4,54.9,23.2,1.51,10.73
Lassen,6453,2009-11,1.01,26.6,36.8,47.1,19.9,0.92,8.25
Lassen,6453,2009-12,1.92,17.1,27,36.8,14.1,0.56,4.18
Lassen,6453,2010-01,3.47,25.9,32.5,39.1,23.2,0.48,3.29
Lassen,6453,2010-02,1.04,24.1,33,41.8,22.2,0.3,4.76
Lassen,6453,2010-03,1.71,22.5,33.8,45,16.9,0.92,7.06
Lassen,6453,2010-04,2.17,24.5,35,45.5,19.4,0.83,7.04
Lassen,6453,2010-05,1.04,28.5,40.3,52,21.1,1.08,9.46
Lassen,6453,2010-06,0.19,41.4,54.5,67.6,31.4,2.37,17.66
Lassen,6453,2010-07,0.08,49.3,65.5,81.6,32.4,4.44,30.24
Lassen,6453,2010-08,1.63,46.7,61.9,77,27.9,4.5,26.69
Lassen,6453,2010-09,0.11,43.3,58.2,73.1,23.8,4.57,24.25
Lassen,6453,2010-10,3.5,38.2,48.4,58.7,29.6,2.23,12.21
Lassen,6453,2010-11,1.25,24,33.5,43,21.5,0.84,5.7
Lassen,6453,2010-12,5.2,25.4,31.6,37.9,23.9,0.28,2.84
Lassen,6453,2011-01,0.46,21.5,32.4,43.3,16.8,0.75,5.94
Lassen,6453,2011-02,3.08,18.2,28.3,38.4,13.9,0.74,4.89
Lassen,6453,2011-03,3.77,24.1,31.5,38.9,22,0.32,3.68
Lassen,6453,2011-04,1.8,25.3,36.2,47,21.4,0.73,7.25
Lassen,6453,2011-05,2.01,30.4,40.9,51.5,24.6,1.02,8.77
Lassen,6453,2011-06,1.77,39.3,51.9,64.5,31.8,1.79,15.64
Lassen,6453,2011-07,0.01,47.2,62.5,77.9,35.5,3.58,26.01
Lassen,6453,2011-08,0,49.3,64.8,80.3,30.6,5.41,29.8
Lassen,6453,2011-09,0.26,48.1,62.8,77.4,27.1,5.96,27.18
Lassen,6453,2011-10,1.23,35.9,48.1,60.4,25.9,1.84,13.03
Lassen,6453,2011-11,0.52,25,33.9,42.9,19.4,0.81,5.67
Lassen,6453,2011-12,0.08,20.2,31.1,42,9.5,1.12,6.37
Lassen,6453,2012-01,2.12,22.6,32.9,43.3,13.2,1.19,6.62
Lassen,6453,2012-02,0.92,21,31,41,16.8,0.55,5.45
Lassen,6453,2012-03,2.83,23.5,32.7,41.9,18.1,0.71,5.46
Lassen,6453,2012-04,2.27,29.1,40.6,52.2,22.3,1,10.06
Lassen,6453,2012-05,0.52,34.3,48.5,62.8,22.4,2.22,16.27
Lassen,6453,2012-06,0.54,40,54.9,69.8,25.1,3.24,21.33
Lassen,6453,2012-07,0.05,49,64.8,80.6,29.6,5.75,30.66
Lassen,6453,2012-08,0.03,51.8,67.9,84,24.6,8.46,35.63
Lassen,6453,2012-09,0,46.6,62.5,78.4,23.2,6.92,28.99
Lassen,6453,2012-10,1.19,37.2,50.6,63.9,25.3,2.62,16.9
Lassen,6453,2012-11,3.7,30,38.8,47.7,25.4,0.89,6.79
Lassen,6453,2012-12,6.61,21,28,35,20,0.3,2.64
Lassen,6453,2013-01,0.85,14.1,25.8,37.5,11.7,0.57,4.24
Lassen,6453,2013-02,0.3,20.1,31.4,42.7,14.7,0.58,6.19
Lassen,6453,2013-03,0.55,26.3,38.1,49.9,20.2,0.85,8.35
Lassen,6453,2013-04,0.99,29.5,41.7,54,21,1.43,10.69
Lassen,6453,2013-05,1.49,35.6,48.2,60.8,25.4,1.72,13.72
Lassen,6453,2013-06,0.52,43.1,57.8,72.4,30.6,3.22,22.45
Lassen,6453,2013-07,0.45,53.2,69.2,85.1,31.2,7.41,35.21
Lassen,6453,2013-08,0.2,48.8,63.7,78.6,29.8,5.62,27.88
Lassen,6453,2013-09,1.29,43.4,56.1,68.8,31.4,3.14,19.24
Lassen,6453,2013-10,0.48,31.8,45,58.2,19.8,2.24,13.45
Lassen,6453,2013-11,0.55,27.2,38.5,49.9,19.4,1.26,8.25
Lassen,6453,2013-12,0.17,16.8,29.2,41.6,10.9,0.94,6.17
Lassen,6453,2014-01,0.53,25.4,37.2,49.1,14.3,1.77,8.5
Lassen,6453,2014-02,3.21,25.7,34.1,42.5,21.4,0.69,5.28
Lassen,6453,2014-03,3.37,27.4,36.9,46.5,20.7,1.15,6.89
Lassen,6453,2014-04,0.91,29.1,41.8,54.5,22.7,1.31,10.59
Lassen,6453,2014-05,0.42,36.3,49.7,63.1,23.1,2.63,16.14
Lassen,6453,2014-06,0.11,42.8,57.7,72.6,26.9,3.93,22.91
Lassen,6453,2014-07,0.45,55.3,69.8,84.4,34.6,7.38,33.66
Lassen,6453,2014-08,0.64,50.7,64.2,77.6,34.8,5.17,25.57
Lassen,6453,2014-09,0.52,46.5,59.6,72.8,29.2,4.93,22.43
Lassen,6453,2014-10,1.29,37.3,50,62.6,26.8,2.53,15.4
Lassen,6453,2014-11,0.88,30,39.1,48.1,24.9,1.05,6.89
Lassen,6453,2014-12,5.24,27.9,33.1,38.2,27.6,0.27,2.06
Lassen,6453,2015-01,0.06,28.6,37.6,46.6,22.5,1.09,6.04
